"director";"novo_nome";"Dim_1";"Dim_2";"votes";"cover";"fcover"
"Akira Kurosawa";" Yôjinbô";" 1961";" 8.3";" 68484";" http://ia.media-imdb.com/images/M/MV5BMjAwNTQ3ODUyMl5BMl5BanBnXkFtZTgwNDg5ODQyNjE@._V1._SX97_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjAwNTQ3ODUyMl5BMl5BanBnXkFtZTgwNDg5ODQyNjE@.jpg"
"Akira Kurosawa";" Warui yatsu hodo yoku nemuru";" 1960";" 8.1";" 6733";" http://ia.media-imdb.com/images/M/MV5BMjEwNDgxNDE0OF5BMl5BanBnXkFtZTcwMzkwMjkzMQ@@._V1._CR0,35,354,464._SX100_SY131_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjEwNDgxNDE0OF5BMl5BanBnXkFtZTcwMzkwMjkzMQ@@._V1._CR0,35,354,464._SX100_SY131_.jpg"
"Akira Kurosawa";" Kakushi-toride no san-akunin";" 1958";" 8.1";" 22572";" http://ia.media-imdb.com/images/M/MV5BMTUzMzI1OTU2OV5BMl5BanBnXkFtZTgwNjAwOTQyNjE@._V1._SX99_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTUzMzI1OTU2OV5BMl5BanBnXkFtZTgwNjAwOTQyNjE@.jpg"
"Akira Kurosawa";" Donzoko";" 1957";" 7.5";" 3229";" http://ia.media-imdb.com/images/M/MV5BMjA2ODExOTEwMF5BMl5BanBnXkFtZTgwMDQ5NTQ5MTE@._V1._SX98_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjA2ODExOTEwMF5BMl5BanBnXkFtZTgwMDQ5NTQ5MTE@.jpg"
"Akira Kurosawa";" Kumonosu-jô";" 1957";" 8.2";" 28167";" http://ia.media-imdb.com/images/M/MV5BMTM1MTk2NDIzOV5BMl5BanBnXkFtZTcwMTA5ODQxMQ@@._V1._SX99_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTM1MTk2NDIzOV5BMl5BanBnXkFtZTcwMTA5ODQxMQ@@.jpg"
"Akira Kurosawa";" Ikimono no kiroku";" 1955";" 7.4";" 2589";" http://ia.media-imdb.com/images/M/MV5BMTkyNjIyMjgxN15BMl5BanBnXkFtZTcwNjM0MjE2MQ@@._V1._SX99_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTkyNjIyMjgxN15BMl5BanBnXkFtZTcwNjM0MjE2MQ@@.jpg"
"Akira Kurosawa";" Shichinin no samurai";" 1954";" 8.7";" 214385";" http://ia.media-imdb.com/images/M/MV5BMTc5MDY1MjU5MF5BMl5BanBnXkFtZTgwNDM2OTE4MzE@._V1._SX100_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTc5MDY1MjU5MF5BMl5BanBnXkFtZTgwNDM2OTE4MzE@.jpg"
"Akira Kurosawa";" Ikiru";" 1952";" 8.3";" 38618";" http://ia.media-imdb.com/images/M/MV5BMTcyMDU0MTQzNV5BMl5BanBnXkFtZTcwOTk2NDQyMQ@@._V1._CR12,28,314,446._SX99_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTcyMDU0MTQzNV5BMl5BanBnXkFtZTcwOTk2NDQyMQ@@._V1._CR12,28,314,446._SX99_SY140_.jpg"
"Akira Kurosawa";" Hakuchi";" 1951";" 7.4";" 3082";" http://ia.media-imdb.com/images/M/MV5BMTkyNjIyMjgxN15BMl5BanBnXkFtZTcwNjM0MjE2MQ@@._V1._SX99_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTkyNjIyMjgxN15BMl5BanBnXkFtZTcwNjM0MjE2MQ@@.jpg"
"Akira Kurosawa";" Rashômon";" 1950";" 8.3";" 94770";" http://ia.media-imdb.com/images/M/MV5BMjEzMzA4NDE2OF5BMl5BanBnXkFtZTcwNTc5MDI2NQ@@._V1._CR0,0,503,683._SX100_SY136_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjEzMzA4NDE2OF5BMl5BanBnXkFtZTcwNTc5MDI2NQ@@._V1._CR0,0,503,683._SX100_SY136_.jpg"
"Akira Kurosawa";" Shûbun";" 1950";" 7.4";" 2165";" http://ia.media-imdb.com/images/M/MV5BMTkyNjIyMjgxN15BMl5BanBnXkFtZTcwNjM0MjE2MQ@@._V1._SX99_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTkyNjIyMjgxN15BMl5BanBnXkFtZTcwNjM0MjE2MQ@@.jpg"
"Akira Kurosawa";" Nora inu";" 1949";" 7.9";" 10410";" http://ia.media-imdb.com/images/M/MV5BMjE0ODQwMjA0MF5BMl5BanBnXkFtZTcwNzc3NDUyMQ@@._V1._CR0,30,361,469._SX100_SY130_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjE0ODQwMjA0MF5BMl5BanBnXkFtZTcwNzc3NDUyMQ@@._V1._CR0,30,361,469._SX100_SY130_.jpg"
"Akira Kurosawa";" Shizukanaru kettô";" 1949";" 7.5";" 1775";" http://ia.media-imdb.com/images/M/MV5BMTIxMDA1MjgzM15BMl5BanBnXkFtZTcwOTY5ODczMQ@@._V1._SX100_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTIxMDA1MjgzM15BMl5BanBnXkFtZTcwOTY5ODczMQ@@.jpg"
"Akira Kurosawa";" Yoidore tenshi";" 1948";" 7.8";" 6334";" http://ia.media-imdb.com/images/M/MV5BMTIwMzkyMDk0Ml5BMl5BanBnXkFtZTcwNzg5NjE1MQ@@._V1._SX100_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTIwMzkyMDk0Ml5BMl5BanBnXkFtZTcwNzg5NjE1MQ@@.jpg"
"Akira Kurosawa";" Subarashiki nichiyôbi";" 1947";" 7.3";" 1640";" http://ia.media-imdb.com/images/M/MV5BMTkyNjIyMjgxN15BMl5BanBnXkFtZTcwNjM0MjE2MQ@@._V1._SX99_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTkyNjIyMjgxN15BMl5BanBnXkFtZTcwNjM0MjE2MQ@@.jpg"
"Akira Kurosawa";" Waga seishun ni kuinashi";" 1946";" 7.3";" 1743";" http://ia.media-imdb.com/images/M/MV5BMTkyNjIyMjgxN15BMl5BanBnXkFtZTcwNjM0MjE2MQ@@._V1._SX99_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTkyNjIyMjgxN15BMl5BanBnXkFtZTcwNjM0MjE2MQ@@.jpg"
"Akira Kurosawa";" Asu o tsukuru hitobito";" 1946";" 6.5";" 110";" NA";" NA"
"Akira Kurosawa";" Tora no o wo fumu otokotachi";" 1945";" 6.9";" 2215";" http://ia.media-imdb.com/images/M/MV5BMjIyOTUyNDQzMl5BMl5BanBnXkFtZTcwMzU1NzE1Mw@@._V1._SX100_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjIyOTUyNDQzMl5BMl5BanBnXkFtZTcwMzU1NzE1Mw@@.jpg"
"Akira Kurosawa";" Zoku Sugata Sanshirô";" 1945";" 6.2";" 1220";" http://ia.media-imdb.com/images/M/MV5BMjIyOTUyNDQzMl5BMl5BanBnXkFtZTcwMzU1NzE1Mw@@._V1._SX100_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjIyOTUyNDQzMl5BMl5BanBnXkFtZTcwMzU1NzE1Mw@@.jpg"
"Akira Kurosawa";" Ichiban utsukushiku";" 1944";" 5.9";" 1021";" http://ia.media-imdb.com/images/M/MV5BMjIyOTUyNDQzMl5BMl5BanBnXkFtZTcwMzU1NzE1Mw@@._V1._SX100_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjIyOTUyNDQzMl5BMl5BanBnXkFtZTcwMzU1NzE1Mw@@.jpg"
"Akira Kurosawa";" Sugata Sanshirô";" 1943";" 6.9";" 2897";" http://ia.media-imdb.com/images/M/MV5BMjIyOTUyNDQzMl5BMl5BanBnXkFtZTcwMzU1NzE1Mw@@._V1._SX100_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjIyOTUyNDQzMl5BMl5BanBnXkFtZTcwMzU1NzE1Mw@@.jpg"
"Akira Kurosawa";" Uma";" 1941";" 6.9";" 88";" NA";" NA"
