"director";"movie";"year";"rating";"votes";"cover";"fcover"
"Akira Kurosawa";" Yôjinbô";" 1961";" 8.3";" 68484";" http://ia.media-imdb.com/images/M/MV5BMjAwNTQ3ODUyMl5BMl5BanBnXkFtZTgwNDg5ODQyNjE@._V1._SX97_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjAwNTQ3ODUyMl5BMl5BanBnXkFtZTgwNDg5ODQyNjE@.jpg"
"Akira Kurosawa";" Warui yatsu hodo yoku nemuru";" 1960";" 8.1";" 6733";" http://ia.media-imdb.com/images/M/MV5BMjEwNDgxNDE0OF5BMl5BanBnXkFtZTcwMzkwMjkzMQ@@._V1._CR0,35,354,464._SX100_SY131_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjEwNDgxNDE0OF5BMl5BanBnXkFtZTcwMzkwMjkzMQ@@._V1._CR0,35,354,464._SX100_SY131_.jpg"
"Akira Kurosawa";" Kakushi-toride no san-akunin";" 1958";" 8.1";" 22572";" http://ia.media-imdb.com/images/M/MV5BMTUzMzI1OTU2OV5BMl5BanBnXkFtZTgwNjAwOTQyNjE@._V1._SX99_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTUzMzI1OTU2OV5BMl5BanBnXkFtZTgwNjAwOTQyNjE@.jpg"
"Akira Kurosawa";" Donzoko";" 1957";" 7.5";" 3229";" http://ia.media-imdb.com/images/M/MV5BMjA2ODExOTEwMF5BMl5BanBnXkFtZTgwMDQ5NTQ5MTE@._V1._SX98_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjA2ODExOTEwMF5BMl5BanBnXkFtZTgwMDQ5NTQ5MTE@.jpg"
"Akira Kurosawa";" Kumonosu-jô";" 1957";" 8.2";" 28167";" http://ia.media-imdb.com/images/M/MV5BMTM1MTk2NDIzOV5BMl5BanBnXkFtZTcwMTA5ODQxMQ@@._V1._SX99_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTM1MTk2NDIzOV5BMl5BanBnXkFtZTcwMTA5ODQxMQ@@.jpg"
"Akira Kurosawa";" Ikimono no kiroku";" 1955";" 7.4";" 2589";" http://ia.media-imdb.com/images/M/MV5BMTkyNjIyMjgxN15BMl5BanBnXkFtZTcwNjM0MjE2MQ@@._V1._SX99_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTkyNjIyMjgxN15BMl5BanBnXkFtZTcwNjM0MjE2MQ@@.jpg"
"Akira Kurosawa";" Shichinin no samurai";" 1954";" 8.7";" 214385";" http://ia.media-imdb.com/images/M/MV5BMTc5MDY1MjU5MF5BMl5BanBnXkFtZTgwNDM2OTE4MzE@._V1._SX100_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTc5MDY1MjU5MF5BMl5BanBnXkFtZTgwNDM2OTE4MzE@.jpg"
"Akira Kurosawa";" Ikiru";" 1952";" 8.3";" 38618";" http://ia.media-imdb.com/images/M/MV5BMTcyMDU0MTQzNV5BMl5BanBnXkFtZTcwOTk2NDQyMQ@@._V1._CR12,28,314,446._SX99_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTcyMDU0MTQzNV5BMl5BanBnXkFtZTcwOTk2NDQyMQ@@._V1._CR12,28,314,446._SX99_SY140_.jpg"
"Akira Kurosawa";" Hakuchi";" 1951";" 7.4";" 3082";" http://ia.media-imdb.com/images/M/MV5BMTkyNjIyMjgxN15BMl5BanBnXkFtZTcwNjM0MjE2MQ@@._V1._SX99_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTkyNjIyMjgxN15BMl5BanBnXkFtZTcwNjM0MjE2MQ@@.jpg"
"Akira Kurosawa";" Rashômon";" 1950";" 8.3";" 94770";" http://ia.media-imdb.com/images/M/MV5BMjEzMzA4NDE2OF5BMl5BanBnXkFtZTcwNTc5MDI2NQ@@._V1._CR0,0,503,683._SX100_SY136_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjEzMzA4NDE2OF5BMl5BanBnXkFtZTcwNTc5MDI2NQ@@._V1._CR0,0,503,683._SX100_SY136_.jpg"
"Akira Kurosawa";" Shûbun";" 1950";" 7.4";" 2165";" http://ia.media-imdb.com/images/M/MV5BMTkyNjIyMjgxN15BMl5BanBnXkFtZTcwNjM0MjE2MQ@@._V1._SX99_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTkyNjIyMjgxN15BMl5BanBnXkFtZTcwNjM0MjE2MQ@@.jpg"
"Akira Kurosawa";" Nora inu";" 1949";" 7.9";" 10410";" http://ia.media-imdb.com/images/M/MV5BMjE0ODQwMjA0MF5BMl5BanBnXkFtZTcwNzc3NDUyMQ@@._V1._CR0,30,361,469._SX100_SY130_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjE0ODQwMjA0MF5BMl5BanBnXkFtZTcwNzc3NDUyMQ@@._V1._CR0,30,361,469._SX100_SY130_.jpg"
"Akira Kurosawa";" Shizukanaru kettô";" 1949";" 7.5";" 1775";" http://ia.media-imdb.com/images/M/MV5BMTIxMDA1MjgzM15BMl5BanBnXkFtZTcwOTY5ODczMQ@@._V1._SX100_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTIxMDA1MjgzM15BMl5BanBnXkFtZTcwOTY5ODczMQ@@.jpg"
"Akira Kurosawa";" Yoidore tenshi";" 1948";" 7.8";" 6334";" http://ia.media-imdb.com/images/M/MV5BMTIwMzkyMDk0Ml5BMl5BanBnXkFtZTcwNzg5NjE1MQ@@._V1._SX100_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTIwMzkyMDk0Ml5BMl5BanBnXkFtZTcwNzg5NjE1MQ@@.jpg"
"Akira Kurosawa";" Subarashiki nichiyôbi";" 1947";" 7.3";" 1640";" http://ia.media-imdb.com/images/M/MV5BMTkyNjIyMjgxN15BMl5BanBnXkFtZTcwNjM0MjE2MQ@@._V1._SX99_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTkyNjIyMjgxN15BMl5BanBnXkFtZTcwNjM0MjE2MQ@@.jpg"
"Akira Kurosawa";" Waga seishun ni kuinashi";" 1946";" 7.3";" 1743";" http://ia.media-imdb.com/images/M/MV5BMTkyNjIyMjgxN15BMl5BanBnXkFtZTcwNjM0MjE2MQ@@._V1._SX99_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTkyNjIyMjgxN15BMl5BanBnXkFtZTcwNjM0MjE2MQ@@.jpg"
"Akira Kurosawa";" Asu o tsukuru hitobito";" 1946";" 6.5";" 110";" NA";" NA"
"Akira Kurosawa";" Tora no o wo fumu otokotachi";" 1945";" 6.9";" 2215";" http://ia.media-imdb.com/images/M/MV5BMjIyOTUyNDQzMl5BMl5BanBnXkFtZTcwMzU1NzE1Mw@@._V1._SX100_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjIyOTUyNDQzMl5BMl5BanBnXkFtZTcwMzU1NzE1Mw@@.jpg"
"Akira Kurosawa";" Zoku Sugata Sanshirô";" 1945";" 6.2";" 1220";" http://ia.media-imdb.com/images/M/MV5BMjIyOTUyNDQzMl5BMl5BanBnXkFtZTcwMzU1NzE1Mw@@._V1._SX100_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjIyOTUyNDQzMl5BMl5BanBnXkFtZTcwMzU1NzE1Mw@@.jpg"
"Akira Kurosawa";" Ichiban utsukushiku";" 1944";" 5.9";" 1021";" http://ia.media-imdb.com/images/M/MV5BMjIyOTUyNDQzMl5BMl5BanBnXkFtZTcwMzU1NzE1Mw@@._V1._SX100_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjIyOTUyNDQzMl5BMl5BanBnXkFtZTcwMzU1NzE1Mw@@.jpg"
"Akira Kurosawa";" Sugata Sanshirô";" 1943";" 6.9";" 2897";" http://ia.media-imdb.com/images/M/MV5BMjIyOTUyNDQzMl5BMl5BanBnXkFtZTcwMzU1NzE1Mw@@._V1._SX100_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjIyOTUyNDQzMl5BMl5BanBnXkFtZTcwMzU1NzE1Mw@@.jpg"
"Akira Kurosawa";" Uma";" 1941";" 6.9";" 88";" NA";" NA"
"Alfred Hitchcock";" Family Plot";" 1976";" 6.8";" 14576";" http://ia.media-imdb.com/images/M/MV5BMTMyMDYwOTgzMV5BMl5BanBnXkFtZTcwNjA2NTEwNA@@._V1._SX92_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTMyMDYwOTgzMV5BMl5BanBnXkFtZTcwNjA2NTEwNA@@.jpg"
"Alfred Hitchcock";" Frenzy";" 1972";" 7.5";" 29367";" http://ia.media-imdb.com/images/M/MV5BMjM1NDA2Njc2NF5BMl5BanBnXkFtZTgwODUxMDY0MTE@._V1._SX99_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjM1NDA2Njc2NF5BMl5BanBnXkFtZTgwODUxMDY0MTE@.jpg"
"Alfred Hitchcock";" Topaz";" 1969";" 6.3";" 12107";" http://ia.media-imdb.com/images/M/MV5BMTUzODYxMzk3Nl5BMl5BanBnXkFtZTcwNTM5NTIwNA@@._V1._SX90_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTUzODYxMzk3Nl5BMl5BanBnXkFtZTcwNTM5NTIwNA@@.jpg"
"Alfred Hitchcock";" Torn Curtain";" 1966";" 6.7";" 17765";" http://ia.media-imdb.com/images/M/MV5BMTMwMDA0OTg1NV5BMl5BanBnXkFtZTcwNTA2NTEwNA@@._V1._SX91_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTMwMDA0OTg1NV5BMl5BanBnXkFtZTcwNTA2NTEwNA@@.jpg"
"Alfred Hitchcock";" Marnie";" 1964";" 7.2";" 32176";" http://ia.media-imdb.com/images/M/MV5BMTk0MzExMzU4MV5BMl5BanBnXkFtZTgwMDQ3NTIzMTE@._V1._SX93_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTk0MzExMzU4MV5BMl5BanBnXkFtZTgwMDQ3NTIzMTE@.jpg"
"Alfred Hitchcock";" The Birds";" 1963";" 7.8";" 120894";" http://ia.media-imdb.com/images/M/MV5BMTAxNDA1ODc5MDleQTJeQWpwZ15BbWU4MDg2MDA4OTEx._V1._SX91_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTAxNDA1ODc5MDleQTJeQWpwZ15BbWU4MDg2MDA4OTEx.jpg"
"Alfred Hitchcock";" Psycho";" 1960";" 8.5";" 390196";" http://ia.media-imdb.com/images/M/MV5BMTgzMzM3NDY0NF5BMl5BanBnXkFtZTgwNDgwNDgwNzE@._V1._SX91_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTgzMzM3NDY0NF5BMl5BanBnXkFtZTgwNDgwNDgwNzE@.jpg"
"Alfred Hitchcock";" North by Northwest";" 1959";" 8.4";" 206538";" http://ia.media-imdb.com/images/M/MV5BMjQwMTQ0MzgwNl5BMl5BanBnXkFtZTgwNjc4ODE4MzE@._V1._SX89_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjQwMTQ0MzgwNl5BMl5BanBnXkFtZTgwNjc4ODE4MzE@.jpg"
"Alfred Hitchcock";" Vertigo";" 1958";" 8.4";" 229008";" http://ia.media-imdb.com/images/M/MV5BNzY0NzQyNzQzOF5BMl5BanBnXkFtZTcwMTgwNTk4OQ@@._V1._SX93_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BNzY0NzQyNzQzOF5BMl5BanBnXkFtZTcwMTgwNTk4OQ@@.jpg"
"Alfred Hitchcock";" The Wrong Man";" 1956";" 7.5";" 17529";" http://ia.media-imdb.com/images/M/MV5BOTk3OTEyNjY0N15BMl5BanBnXkFtZTgwMzgzMTQzMTE@._V1._SX99_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BOTk3OTEyNjY0N15BMl5BanBnXkFtZTgwMzgzMTQzMTE@.jpg"
"Alfred Hitchcock";" The Man Who Knew Too Much";" 1956";" 7.5";" 39663";" http://ia.media-imdb.com/images/M/MV5BMjI1NDIzNjc3N15BMl5BanBnXkFtZTcwMjE5ODEwNA@@._V1._SX91_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjI1NDIzNjc3N15BMl5BanBnXkFtZTcwMjE5ODEwNA@@.jpg"
"Alfred Hitchcock";" The Trouble with Harry";" 1955";" 7.2";" 23549";" http://ia.media-imdb.com/images/M/MV5BMTQxNzgyODg5OF5BMl5BanBnXkFtZTYwMjI4ODQ2._V1._SX93_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTQxNzgyODg5OF5BMl5BanBnXkFtZTYwMjI4ODQ2.jpg"
"Alfred Hitchcock";" To Catch a Thief";" 1955";" 7.5";" 43114";" http://ia.media-imdb.com/images/M/MV5BMTQ4MTkxODI5MF5BMl5BanBnXkFtZTgwNjM2OTQ3MTE@._V1._CR399,132,2606,4029._SX91_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTQ4MTkxODI5MF5BMl5BanBnXkFtZTgwNjM2OTQ3MTE@._V1._CR399,132,2606,4029._SX91_SY140_.jpg"
"Alfred Hitchcock";" Rear Window";" 1954";" 8.5";" 293083";" http://ia.media-imdb.com/images/M/MV5BMTg5MjM4NzEwOF5BMl5BanBnXkFtZTgwMDE1NjM0MTE@._V1._SX96_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTg5MjM4NzEwOF5BMl5BanBnXkFtZTgwMDE1NjM0MTE@.jpg"
"Alfred Hitchcock";" Dial M for Murder";" 1954";" 8.2";" 97303";" http://ia.media-imdb.com/images/M/MV5BMTMwNzc1MzM2M15BMl5BanBnXkFtZTYwNDUxNDU2._V1._SX89_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTMwNzc1MzM2M15BMl5BanBnXkFtZTYwNDUxNDU2.jpg"
"Alfred Hitchcock";" I Confess";" 1953";" 7.3";" 13704";" http://ia.media-imdb.com/images/M/MV5BMTY5NTIzODM3Ml5BMl5BanBnXkFtZTcwNDc1MzYyMQ@@._V1._CR17,24,295,376._SX100_SY127_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTY5NTIzODM3Ml5BMl5BanBnXkFtZTcwNDc1MzYyMQ@@._V1._CR17,24,295,376._SX100_SY127_.jpg"
"Alfred Hitchcock";" Strangers on a Train";" 1951";" 8.1";" 88929";" http://ia.media-imdb.com/images/M/MV5BMTcwNzk0MTQxMF5BMl5BanBnXkFtZTcwNjM5NTIwNA@@._V1._SX85_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTcwNzk0MTQxMF5BMl5BanBnXkFtZTcwNjM5NTIwNA@@.jpg"
"Alfred Hitchcock";" Stage Fright";" 1950";" 7.1";" 8873";" http://ia.media-imdb.com/images/M/MV5BODk3ODkyNzU2MV5BMl5BanBnXkFtZTcwOTM2MTAyMQ@@._V1._SX89_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BODk3ODkyNzU2MV5BMl5BanBnXkFtZTcwOTM2MTAyMQ@@.jpg"
"Alfred Hitchcock";" Under Capricorn";" 1949";" 6.2";" 4443";" http://ia.media-imdb.com/images/M/MV5BMjQxMTY0ODc0OF5BMl5BanBnXkFtZTYwMzU5NzM5._V1._CR18,96,256,365._SX98_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjQxMTY0ODc0OF5BMl5BanBnXkFtZTYwMzU5NzM5._V1._CR18,96,256,365._SX98_SY140_.jpg"
"Alfred Hitchcock";" Rope";" 1948";" 8.0";" 90612";" http://ia.media-imdb.com/images/M/MV5BMjE2NjM0MzEwNV5BMl5BanBnXkFtZTYwODkxNDU2._V1._SX93_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjE2NjM0MzEwNV5BMl5BanBnXkFtZTYwODkxNDU2.jpg"
"Alfred Hitchcock";" The Paradine Case";" 1947";" 6.5";" 7187";" http://ia.media-imdb.com/images/M/MV5BMTQ3NDI0NzA4M15BMl5BanBnXkFtZTYwOTU0NTA5._V1._CR1,42,260,431._SX84_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTQ3NDI0NzA4M15BMl5BanBnXkFtZTYwOTU0NTA5._V1._CR1,42,260,431._SX84_SY140_.jpg"
"Alfred Hitchcock";" Notorious";" 1946";" 8.1";" 69413";" http://ia.media-imdb.com/images/M/MV5BMTY3NTAwMjk5OV5BMl5BanBnXkFtZTgwNDU5OTQzMTE@._V1._SX92_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTY3NTAwMjk5OV5BMl5BanBnXkFtZTgwNDU5OTQzMTE@.jpg"
"Alfred Hitchcock";" Spellbound";" 1945";" 7.7";" 31293";" http://ia.media-imdb.com/images/M/MV5BMTM2NDI5Nzg5Nl5BMl5BanBnXkFtZTcwNDk3NzI0NA@@._V1._SX93_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTM2NDI5Nzg5Nl5BMl5BanBnXkFtZTcwNDk3NzI0NA@@.jpg"
"Alfred Hitchcock";" Lifeboat";" 1944";" 7.8";" 19313";" http://ia.media-imdb.com/images/M/MV5BMjAxNzQ3NjM2Ml5BMl5BanBnXkFtZTgwNzQzNDk0MjE@._V1._SX94_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMjAxNzQ3NjM2Ml5BMl5BanBnXkFtZTgwNzQzNDk0MjE@.jpg"
"Alfred Hitchcock";" Shadow of a Doubt";" 1943";" 8.0";" 43173";" http://ia.media-imdb.com/images/M/MV5BMTYwNzk3MjcxMl5BMl5BanBnXkFtZTgwNzIzOTU0MjE@._V1._SX92_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTYwNzk3MjcxMl5BMl5BanBnXkFtZTgwNzIzOTU0MjE@.jpg"
"Alfred Hitchcock";" Saboteur";" 1942";" 7.2";" 16568";" http://ia.media-imdb.com/images/M/MV5BMTk2MzE5MTAyNF5BMl5BanBnXkFtZTcwNTY1MjkyMw@@._V1._SX96_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTk2MzE5MTAyNF5BMl5BanBnXkFtZTcwNTY1MjkyMw@@.jpg"
"Alfred Hitchcock";" Suspicion";" 1941";" 7.5";" 22323";" http://ia.media-imdb.com/images/M/MV5BNTQwNTQzMDEyNl5BMl5BanBnXkFtZTYwNjQ3ODQ2._V1._SX91_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BNTQwNTQzMDEyNl5BMl5BanBnXkFtZTYwNjQ3ODQ2.jpg"
"Alfred Hitchcock";" Mr. & Mrs. Smith";" 1941";" 6.5";" 6836";" http://ia.media-imdb.com/images/M/MV5BNjU4OTI0NTIwNV5BMl5BanBnXkFtZTgwMzA3ODgwMzE@._V1._CR2,44,340,455._SX100_SY134_.jpg";" http://ia.media-imdb.com/images/M/MV5BNjU4OTI0NTIwNV5BMl5BanBnXkFtZTgwMzA3ODgwMzE@._V1._CR2,44,340,455._SX100_SY134_.jpg"
"Alfred Hitchcock";" Foreign Correspondent";" 1940";" 7.6";" 12883";" http://ia.media-imdb.com/images/M/MV5BMTQ0NjQ1ODg2MV5BMl5BanBnXkFtZTgwMjA5ODgwMzE@._V1._SX96_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTQ0NjQ1ODg2MV5BMl5BanBnXkFtZTgwMjA5ODgwMzE@.jpg"
"Alfred Hitchcock";" Rebecca";" 1940";" 8.2";" 81558";" http://ia.media-imdb.com/images/M/MV5BMTM5ODA4ODMzM15BMl5BanBnXkFtZTcwOTA2NTEwNA@@._V1._CR9,22,314,458._SX96_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTM5ODA4ODMzM15BMl5BanBnXkFtZTcwOTA2NTEwNA@@._V1._CR9,22,314,458._SX96_SY140_.jpg"
"Alfred Hitchcock";" Jamaica Inn";" 1939";" 6.3";" 6109";" http://ia.media-imdb.com/images/M/MV5BNTE3MDkwMjYzNl5BMl5BanBnXkFtZTgwMDU2NjA4MzE@._V1._SX94_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BNTE3MDkwMjYzNl5BMl5BanBnXkFtZTgwMDU2NjA4MzE@.jpg"
"Alfred Hitchcock";" The Lady Vanishes";" 1938";" 8.0";" 34266";" http://ia.media-imdb.com/images/M/MV5BMzU4NjExMzY1NV5BMl5BanBnXkFtZTgwMTAxMDY0MjE@._V1._SX95_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMzU4NjExMzY1NV5BMl5BanBnXkFtZTgwMTAxMDY0MjE@.jpg"
"Alfred Hitchcock";" Young and Innocent";" 1937";" 7.0";" 6179";" http://ia.media-imdb.com/images/M/MV5BMTQ1OTcxMTUwNV5BMl5BanBnXkFtZTcwNDAwMDc1NQ@@._V1._CR44,41,268,404._SX93_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTQ1OTcxMTUwNV5BMl5BanBnXkFtZTcwNDAwMDc1NQ@@._V1._CR44,41,268,404._SX93_SY140_.jpg"
"Alfred Hitchcock";" Sabotage";" 1936";" 7.1";" 10438";" http://ia.media-imdb.com/images/M/MV5BMTU3MDAwODU2MV5BMl5BanBnXkFtZTgwNTEzMTE4MzE@._V1._SX99_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTU3MDAwODU2MV5BMl5BanBnXkFtZTgwNTEzMTE4MzE@.jpg"
"Alfred Hitchcock";" Secret Agent";" 1936";" 6.6";" 5823";" http://ia.media-imdb.com/images/M/MV5BMTQxMjI1MjE1NV5BMl5BanBnXkFtZTgwOTIzNTQ1MjE@._V1._SX95_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTQxMjI1MjE1NV5BMl5BanBnXkFtZTgwOTIzNTQ1MjE@.jpg"
"Alfred Hitchcock";" The 39 Steps";" 1935";" 7.8";" 38257";" http://ia.media-imdb.com/images/M/MV5BMTY5ODAzMTcwOF5BMl5BanBnXkFtZTcwMzYxNDYyNA@@._V1._SX94_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTY5ODAzMTcwOF5BMl5BanBnXkFtZTcwMzYxNDYyNA@@.jpg"
"Alfred Hitchcock";" The Man Who Knew Too Much";" 1934";" 6.9";" 12027";" http://ia.media-imdb.com/images/M/MV5BMTg5MDQ4NDUyM15BMl5BanBnXkFtZTgwNDkzNjY3MzE@._V1._SX94_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTg5MDQ4NDUyM15BMl5BanBnXkFtZTgwNDkzNjY3MzE@.jpg"
"Alfred Hitchcock";" Waltzes from Vienna";" 1934";" 6.1";" 753";" http://ia.media-imdb.com/images/M/MV5BMTYwMzgwMzM5MV5BMl5BanBnXkFtZTgwMzkzNjA1MjE@._V1._SX100_SY131_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTYwMzgwMzM5MV5BMl5BanBnXkFtZTgwMzkzNjA1MjE@.jpg"
"Alfred Hitchcock";" Number Seventeen";" 1932";" 5.9";" 3354";" http://ia.media-imdb.com/images/M/MV5BMzY5NjgyODU5NV5BMl5BanBnXkFtZTgwNTExNzA1MjE@._V1._SX100_SY138_.jpg";" http://ia.media-imdb.com/images/M/MV5BMzY5NjgyODU5NV5BMl5BanBnXkFtZTgwNTExNzA1MjE@.jpg"
"Alfred Hitchcock";" Rich and Strange";" 1931";" 5.9";" 2926";" http://ia.media-imdb.com/images/M/MV5BMTUzNDU2Mzk2NV5BMl5BanBnXkFtZTgwMDMyMDU4MTE@._V1._SX99_SY140_.jpg";" http://ia.media-imdb.com/images/M/MV5BMTUzNDU2Mzk2NV5BMl5BanBnXkFtZTgwMDMyMDU4MTE@.jpg"
"Alfred Hitchcock";" Mary";" 1931";" 6.0";" 370";" NA";" NA"
